Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:10:39.991,114336.3,0.472,BTCUSDT
2025-09-30 00:10:40.035,114336.3,0.087,BTCUSDT
2025-09-30 00:10:40.092,114336.2,0.003,BTCUSDT
2025-09-30 00:10:40.099,114336.3,0.047,BTCUSDT
2025-09-30 00:10:40.099,114336.3,0.096,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.087,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.027,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.022,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.031,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.002,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.003,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.006,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.004,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.004,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.003,BTCUSDT
2025-09-30 00:10:40.105,114336.3,0.002,BTCUSDT
2025-09-30 00:10:40.105,114336.4,0.001,BTCUSDT
2025-09-30 00:10:40.105,114336.4,0.001,BTCUSDT
2025-09-30 00:10:40.105,114336.4,0.004,BTCUSDT
2025-09-30 00:10:40.105,114336.5,0.03,BTCUSDT
2025-09-30 00:10:40.105,114336.5,0.002,BTCUSDT
2025-09-30 00:10:40.105,114336.6,0.001,BTCUSDT
2025-09-30 00:10:40.105,114336.6,0.002,BTCUSDT
2025-09-30 00:10:40.105,114336.8,0.096,BTCUSDT
2025-09-30 00:10:40.105,114336.8,0.001,BTCUSDT
2025-09-30 00:10:40.105,114336.9,0.002,BTCUSDT
2025-09-30 00:10:40.108,114337.0,0.029,BTCUSDT
2025-09-30 00:10:40.108,114337.0,0.001,BTCUSDT
2025-09-30 00:10:40.111,114337.0,0.034,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.031,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.044,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.002,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.003,BTCUSDT
2025-09-30 00:10:40.168,114337.0,0.007,BTCUSDT
2025-09-30 00:10:40.168,114337.1,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.1,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.1,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.5,0.002,BTCUSDT
2025-09-30 00:10:40.168,114337.6,0.001,BTCUSDT
2025-09-30 00:10:40.168,114337.8,0.002,BTCUSDT
2025-09-30 00:10:40.168,114338.1,0.002,BTCUSDT
2025-09-30 00:10:40.168,114338.2,0.001,BTCUSDT
2025-09-30 00:10:40.168,114338.4,0.001,BTCUSDT
2025-09-30 00:10:40.168,114338.7,0.002,BTCUSDT
2025-09-30 00:10:40.171,114338.8,0.002,BTCUSDT
2025-09-30 00:10:40.171,114338.9,0.002,BTCUSDT
2025-09-30 00:10:40.176,114339.2,0.02,BTCUSDT
2025-09-30 00:10:40.176,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.176,114339.2,0.017,BTCUSDT
2025-09-30 00:10:40.185,114339.1,0.001,BTCUSDT
2025-09-30 00:10:40.273,114339.2,0.012,BTCUSDT
2025-09-30 00:10:40.325,114339.1,0.035,BTCUSDT
2025-09-30 00:10:40.325,114339.1,0.001,BTCUSDT
2025-09-30 00:10:40.325,114339.1,0.001,BTCUSDT
2025-09-30 00:10:40.325,114339.1,0.01,BTCUSDT
2025-09-30 00:10:40.328,114339.1,0.001,BTCUSDT
2025-09-30 00:10:40.376,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.460,114339.2,0.173,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.031,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.002,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.007,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.006,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.027,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.004,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.004,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.002,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.002,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.003,BTCUSDT
2025-09-30 00:10:40.475,114339.2,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.3,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.3,0.002,BTCUSDT
2025-09-30 00:10:40.475,114339.3,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.3,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.3,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.6,0.001,BTCUSDT
2025-09-30 00:10:40.475,114339.8,0.002,BTCUSDT
2025-09-30 00:10:40.476,114339.8,0.025,BTCUSDT
2025-09-30 00:10:40.476,114339.9,0.002,BTCUSDT
2025-09-30 00:10:40.542,114339.9,0.007,BTCUSDT
2025-09-30 00:10:40.570,114339.9,0.001,BTCUSDT
2025-09-30 00:10:40.870,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.870,114340.0,0.002,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.111,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.001,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.031,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.026,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.005,BTCUSDT
2025-09-30 00:10:40.973,114340.0,0.083,BTCUSDT
2025-09-30 00:10:41.047,114339.9,0.305,BTCUSDT
2025-09-30 00:10:41.059,114340.0,0.002,BTCUSDT
2025-09-30 00:10:41.105,114340.0,0.001,BTCUSDT
2025-09-30 00:10:41.416,114339.9,0.047,BTCUSDT
2025-09-30 00:10:41.538,114340.0,0.4,BTCUSDT
2025-09-30 00:10:41.812,114339.9,0.001,BTCUSDT
2025-09-30 00:10:41.828,114339.9,0.005,BTCUSDT
2025-09-30 00:10:41.860,114340.0,0.002,BTCUSDT
2025-09-30 00:10:41.887,114340.0,0.05,BTCUSDT
2025-09-30 00:10:41.986,114340.0,0.118,BTCUSDT
2025-09-30 00:10:42.083,114339.9,0.089,BTCUSDT
2025-09-30 00:10:42.199,114339.9,0.015,BTCUSDT
2025-09-30 00:10:42.287,114340.0,0.02,BTCUSDT
